row col x_centroid y_centroid
0 0 7.4540491104 7.0305223465
0 1 7.3699357510 7.2554998398
0 2 7.1699939966 7.3332427740
0 3 7.4142261744 7.2988095284
0 4 7.4879707098 7.5581345558
0 5 7.1594079733 7.4568542242
0 6 7.5428652763 7.7044205666
0 7 7.8582004309 7.2135424614
0 8 -7.9661034346 7.2962218523
0 9 7.4389501810 7.4804294109
0 10 7.5711179972 7.5744754076
0 11 7.6820447445 7.8041845560
0 12 7.4361754656 7.0310020447
0 13 7.4741253853 7.9586622715
0 14 7.4889727831 7.9628171921
0 15 7.6041984558 7.1731902361
1 0 7.2627824545 6.7346587181
1 1 7.7638833523 6.9458320141
1 2 7.3137434721 6.5682420731
1 3 7.5746232271 7.2934350967
1 4 7.6789008379 7.0723503828
1 5 7.3480670452 7.4541164637
1 6 7.5304813385 7.2996314764
1 7 7.4881099463 7.3884071112
1 8 7.6942718029 7.2936921120
1 9 7.3231651783 7.3643846512
1 10 7.8611409664 7.1572017670
1 11 7.6892671585 7.0814313889
1 12 7.1234482527 6.7000240088
1 13 7.4985294342 7.6304752827
1 14 7.9001708031 6.9668750763
1 15 7.3849861622 7.0756860971
2 0 7.3289664984 7.4759123325
2 1 7.8010091782 7.4790229797
2 2 7.4727059603 7.3141331673
2 3 -7.8543354273 7.5128632784
2 4 7.9719836712 7.3473871946
2 5 7.4092044830 -7.9590111971
2 6 7.4448076487 7.5742399693
2 7 7.6093257666 7.6196879148
2 8 7.6078644991 7.9711105824
2 9 7.4943709373 7.6999018192
2 10 7.8888247013 7.4480658770
2 11 7.7161965370 7.3895645142
2 12 7.4442106485 7.3996284008
2 13 7.4811555147 7.5541931391
2 14 7.7143912315 7.9194556475
2 15 7.5476683378 -7.9750461578
3 0 7.1287590265 7.5456458330
3 1 7.8217517138 7.1747606993
3 2 7.7824687958 7.9858275652
3 3 7.9363455772 7.8076856136
3 4 7.8658529520 7.6918427944
3 5 7.3917928934 7.6593471766
3 6 7.5965772867 7.4481317997
3 7 7.3978040218 7.5885690451
3 8 7.3902200460 -7.8405802250
3 9 7.3901109695 7.3629267216
3 10 7.8147506714 7.1947318316
3 11 7.3963445425 7.5218046904
3 12 7.8357454538 7.4031981230
3 13 7.5646053553 7.8712770939
3 14 7.4002393484 6.5723568201
3 15 7.6756286621 6.7510452271
4 0 7.5083143711 7.7056152821
4 1 7.4808608294 7.3527010679
4 2 7.6774092913 7.4756219387
4 3 6.8853837252 7.8498041630
4 4 7.7853167057 7.5115729570
4 5 7.6584128141 7.6976362467
4 6 7.6716440916 7.3190834522
4 7 7.7962672710 7.8647420406
4 8 7.5810571909 -7.8638191223
4 9 7.1866430044 7.8428206444
4 10 7.2158604860 7.2222487926
4 11 7.2602527142 -7.9886268377
4 12 7.7903107405 7.4984558821
4 13 7.8533338308 7.5772632360
4 14 7.3821415901 7.4798462391
4 15 7.3615347147 7.7867171764
5 0 7.3758769035 6.9333567619
5 1 7.6114157438 7.8367019892
5 2 7.9235545397 7.5020506382
5 3 7.3832856417 7.3832856417
5 4 7.7839690447 6.9371125698
5 5 7.5194439888 7.8258835077
5 6 7.5586017370 7.7075946331
5 7 7.7515311241 7.4686411619
5 8 7.5682272911 7.1096535921
5 9 7.6486171484 7.2617957592
5 10 -7.7859803438 7.0967024565
5 11 7.3380250931 7.4436527491
5 12 7.7007315159 7.2656841278
5 13 7.4699811935 6.8938661814
5 14 7.5391873121 7.3314151764
5 15 7.8124369383 7.3411250114
6 0 7.3183175325 6.5582987070
6 1 7.7812486887 7.0600843430
6 2 7.6772500277 7.0472607613
6 3 7.6371352673 6.9942045212
6 4 7.6274210215 6.7282745838
6 5 7.4456713200 6.8575849533
6 6 7.5686208010 6.8974324465
6 7 7.4419560432 6.8473441601
6 8 7.4947378635 6.9995323420
6 9 7.3965595961 7.0176855326
6 10 7.8723124266 7.0115286112
6 11 7.9099924564 6.5746380091
6 12 7.4014081955 6.4374904633
6 13 7.7420942783 6.3508993387
6 14 7.4349076748 6.4127939939
6 15 7.6796271801 6.6952928305
7 0 7.6967611313 -7.3882322311
7 1 7.7403972149 -7.7731841803
7 2 7.1931984425 -7.0169951916
7 3 7.6856832504 -7.0524700880
7 4 6.6364883184 -7.0497360229
7 5 7.8291052580 -7.4313733578
7 6 7.2233595848 -7.3082386255
7 7 7.7447005510 -6.8677469492
7 8 7.2240173817 -7.2634962797
7 9 7.1498038769 -7.7960146666
7 10 7.8787857294 -7.5882914066
7 11 7.4315917492 -7.3273659945
7 12 7.5170757771 -7.8697129488
7 13 7.7661960125 -7.8320145607
7 14 7.6335884333 7.5291365385
7 15 6.9703016281 -7.6161383390
8 0 6.8729612827 5.9110169411
8 1 7.1040906906 3.8420271873
8 2 7.3100305796 3.9753029346
8 3 6.8073465824 3.6576377153
8 4 7.2274034023 3.6749866009
8 5 7.7843818665 3.7709808350
8 6 -7.7859780788 4.0302531719
8 7 7.5714147091 3.5865265131
8 8 7.2540513277 3.7592427731
8 9 7.6377823353 3.5314131975
8 10 7.3028486967 3.5835795403
8 11 7.4830037355 3.3952019215
8 12 7.4935522079 3.3868553638
8 13 -7.9612424374 3.5211188793
8 14 6.8867775202 3.5373816490
8 15 7.9818373919 4.3945908546
9 0 6.7495578527 3.8633201122
9 1 7.4371641874 4.2213433981
9 2 6.9939173460 3.5914279222
9 3 7.1885870695 3.6337361336
9 4 7.3975912333 3.7262648344
9 5 6.6539399624 3.2125500441
9 6 6.9482607841 2.9592272043
9 7 7.7497828007 3.0122840405
9 8 7.7141864300 3.0156003237
9 9 7.6855775118 3.4283276796
9 10 6.9987094402 3.5711685419
9 11 6.6638649702 2.9800759554
9 12 7.2290072441 2.7944294214
9 13 7.3680703640 2.9712927341
9 14 7.1094334126 2.8340435028
9 15 7.0927497149 2.6929683685
10 0 5.7866287231 -3.9613698721
10 1 5.2418844700 -3.6464987993
10 2 5.5115485191 -3.6412627697
10 3 5.7620453835 -3.6360424757
10 4 5.9951249361 -3.6313724518
10 5 6.2126255035 -3.6269954443
10 6 6.4107615948 -3.6241041422
10 7 5.8146166801 -3.9454208612
10 8 6.8376669884 -4.5574376583
10 9 5.3995883465 -4.8782614470
10 10 6.4974247217 -4.8608672619
10 11 6.6899613142 -4.8653223515
10 12 6.8704735041 -4.8695933819
10 13 7.0402594805 -4.8733569384
10 14 7.2000151873 -4.8770539761
10 15 5.4042835236 -4.8457211256
11 0 7.8849239349 -6.7455180883
11 1 7.1618311405 -7.7776556015
11 2 6.7135553360 -7.2724730968
11 3 7.4325280190 -6.8203556538
11 4 7.7358422279 7.7073407173
11 5 5.3334528208 -6.0085449219
11 6 -7.6915941238 -5.3930428028
11 7 7.8176367283 -5.7893640995
11 8 6.4210509062 -5.8225082159
11 9 -7.7459903955 -4.9391185045
11 10 7.4586509466 -6.3494973183
11 11 6.1286610365 -6.6655046940
11 12 -7.8530448675 -6.1934007406
11 13 7.2771190405 -6.6904623508
11 14 6.8279416561 -6.3430066109
11 15 6.8083441257 -4.9923043251
12 0 -7.8648512363 7.1778432131
12 1 -7.8069550991 7.6635266542
12 2 -7.9297323227 7.5464152098
12 3 7.6440726519 7.6231582165
12 4 7.9170897007 7.2200760841
12 5 -7.9690729380 7.5096449852
12 6 7.9108192921 7.3755396605
12 7 -7.9942408800 7.4392842054
12 8 7.8966073990 7.7118742466
12 9 7.9560953379 7.5629726648
12 10 7.7667568922 7.2401258945
12 11 7.9706805944 7.5516272783
12 12 -7.9155769348 7.1791331768
12 13 -7.6739497185 7.6821181774
12 14 -7.6291588545 7.6865667105
12 15 7.9073241949 7.5157456398
13 0 -7.8256827593 7.5530871153
13 1 7.7704864740 7.2778174877
13 2 7.7743883133 7.4540812969
13 3 7.7808810472 7.6223657131
13 4 7.9601727724 7.6471883059
13 5 7.6277858019 7.4576528072
13 6 7.7402356863 7.4838129282
13 7 7.5826481581 7.2419507504
13 8 -7.9433214664 7.3582823277
13 9 7.7433915138 7.4748406410
13 10 7.8603783846 7.5769639015
13 11 7.7107089758 7.5537543297
13 12 7.6507067680 7.7466448545
13 13 7.7263832092 7.3274028301
13 14 7.9615447521 7.5545858145
13 15 7.8377467394 7.3846606016
14 0 7.9250605106 7.0619348288
14 1 7.4028384686 7.4354662895
14 2 7.8418030739 7.5823484659
14 3 7.6631813049 7.3941706419
14 4 7.9749486446 7.6928663254
14 5 -7.7467519045 7.5332503319
14 6 7.8840388060 7.5059089661
14 7 7.9849544764 7.3986196518
14 8 -7.8768855333 7.7877538204
14 9 7.8091719151 7.3529231548
14 10 7.8693027496 7.6694355011
14 11 7.6615822315 7.5861301422
14 12 7.5859357119 7.7890683413
14 13 -7.9873460531 7.3237545490
14 14 7.7629929781 7.5085234642
14 15 7.7887989283 7.5715796947
15 0 7.8518410921 -7.8656349182
15 1 7.7318004370 -7.9446960688
15 2 -7.8427618742 7.6811487675
15 3 7.8889217377 7.8439038992
15 4 -7.9438494444 -7.8368766308
15 5 7.3622901440 7.8171975613
15 6 7.9635552168 7.1821602583
15 7 7.9601330757 7.6464360952
15 8 7.9995611906 7.4375522137
15 9 7.5078451633 7.2268857956
15 10 7.8414695263 7.2230024338
15 11 7.6591786146 -7.7479658127
15 12 7.7494812012 7.5582311153
15 13 7.7747356892 7.8431916237
15 14 7.9737262726 -7.6811416149
15 15 0.0000000000 0.0000000000
